"name","num","time","value","nodes"
"heskia",1,0.180743,94,16
"heskia",2,0.979355,95,42
"heskia",3,0.351618,102,39
"heskia",4,0.566917,103,20
"heskia",5,0.813138,92,24
"heskia",6,0.657538,98,37
"heskia",7,0.365969,116,32
"heskia",8,0.380406,86,35
"heskia",9,0.750042,95,94
"heskia",10,1.39419,142,17
"heskia",11,1.50461,169,157
"heskia",12,0.355256,107,38
"heskia",13,0.311609,108,8
"heskia",14,0.262038,96,18
"heskia",15,0.469911,130,42
"heskia",16,0.615439,117,32
"heskia",17,0.329875,146,54
"heskia",18,0.899645,132,12
"heskia",19,0.656318,101,32
"heskia",20,0.41569,120,14
"heskia",21,1.01114,200,50
"heskia",22,0.481055,147,8
"heskia",23,0.495006,186,15
"heskia",24,1.34217,181,92
"heskia",25,0.749673,142,36
"heskia",26,1.22957,194,111
"heskia",27,0.370167,149,22
"heskia",28,0.304614,191,43
"heskia",29,1.0721,170,44
"heskia",30,0.26529,165,4
"heskia",31,0.538578,204,40
"heskia",32,0.44074,147,30
"heskia",33,0.65127,211,56
"heskia",34,0.0983832,127,18
"heskia",35,1.09251,181,38
"heskia",36,0.237905,179,96
"heskia",37,1.11052,191,111
"heskia",38,0.342674,152,34
"heskia",39,1.80845,167,58
"heskia",40,0.576779,153,102
"heskia",41,0.18169,35,3
"heskia",42,3.94584,40,7
"heskia",43,3.92013,35,29
"heskia",44,3.36303,30,28
"heskia",45,3.77837,40,38
"heskia",46,1.71158,29,25
"heskia",47,0.744762,25,11
"heskia",48,0.0662291,43,0
"heskia",49,3.79646,38,44
"heskia",50,3.83555,34,3
"heskia",51,5.92559,51,23
"heskia",52,4.33908,50,33
"heskia",53,4.82942,52,7
"heskia",54,3.00123,33,34
"heskia",55,4.21857,38,66
"heskia",56,1.72091,34,11
"heskia",57,0.189265,42,3
"heskia",58,3.78092,39,34
"heskia",59,2.07923,59,31
"heskia",60,0.0536711,28,0
"heskia",61,5.95626,66,7
"heskia",62,2.75915,56,15
"heskia",63,7.83587,69,35
"heskia",64,0.0593879,126,0
"heskia",65,0.080282,107,0
"heskia",66,0.0868342,39,0
"heskia",67,0.076292,87,0
"heskia",68,7.68252,62,83
"heskia",69,0.197836,61,1
"heskia",70,0.120566,79,0
"heskia",71,0.064218,91,0
"heskia",72,5.58414,65,16
"heskia",73,1.56169,73,9
"heskia",74,0.150664,57,0
"heskia",75,6.06748,65,27
"heskia",76,0.0698419,70,1
"heskia",77,6.63125,71,70
"heskia",78,4.82588,58,19
"heskia",79,0.163101,46,0
"heskia",80,6.59604,76,38
"roszieg",1,0.152992,20,22
"roszieg",2,0.251178,22,62
"roszieg",3,0.155765,18,10
"roszieg",4,0.164611,18,26
"roszieg",5,0.18532,17,20
"roszieg",6,0.199027,24,37
"roszieg",7,0.220431,21,58
"roszieg",8,0.143422,20,30
"roszieg",9,0.192158,22,56
"roszieg",10,0.132193,19,7
"roszieg",11,0.144446,30,31
"roszieg",12,0.2056,27,18
"roszieg",13,0.02742,76,0
"roszieg",14,0.145032,25,13
"roszieg",15,0.177315,26,23
"roszieg",16,0.160491,22,14
"roszieg",17,0.119545,22,17
"roszieg",18,0.143308,20,20
"roszieg",19,0.157207,27,5
"roszieg",20,0.14487,40,15
"roszieg",21,0.178407,28,28
"roszieg",22,0.234644,30,31
"roszieg",23,0.197782,26,20
"roszieg",24,0.287505,33,53
"roszieg",25,0.352341,28,83
"roszieg",26,0.231973,27,26
"roszieg",27,0.135728,21,22
"roszieg",28,0.24955,28,37
"roszieg",29,0.184749,27,28
"roszieg",30,0.294414,33,90
"roszieg",31,0.249754,31,66
"roszieg",32,0.22553,29,32
"roszieg",33,0.235045,32,70
"roszieg",34,0.213164,27,20
"roszieg",35,0.191174,27,40
"roszieg",36,0.160791,29,16
"roszieg",37,0.234107,27,29
"roszieg",38,0.174175,28,16
"roszieg",39,0.147587,21,16
"roszieg",40,0.228261,29,55
"roszieg",41,0.806001,10,198
"roszieg",42,0.915297,10,259
"roszieg",43,0.644706,10,190
"roszieg",44,0.763294,9,96
"roszieg",45,0.744711,12,209
"roszieg",46,0.525374,9,20
"roszieg",47,0.636372,10,110
"roszieg",48,0.557409,8,50
"roszieg",49,0.783895,10,75
"roszieg",50,0.352425,9,9
"roszieg",51,0.739532,11,114
"roszieg",52,0.467491,10,49
"roszieg",53,0.543489,10,6
"roszieg",54,0.522099,10,25
"roszieg",55,0.599844,11,156
"roszieg",56,0.692593,13,128
"roszieg",57,0.853036,13,103
"roszieg",58,0.8203,11,148
"roszieg",59,0.493782,12,31
"roszieg",60,0.291386,9,15
"roszieg",61,0.818634,16,221
"roszieg",62,0.80702,13,173
"roszieg",63,0.897524,19,210
"roszieg",64,0.765353,16,71
"roszieg",65,0.648157,14,57
"roszieg",66,0.658537,17,53
"roszieg",67,0.940489,17,405
"roszieg",68,0.66785,16,125
"roszieg",69,0.830114,15,193
"roszieg",70,0.886711,17,302
"roszieg",71,0.723981,15,83
"roszieg",72,0.819503,16,136
"roszieg",73,0.627134,16,70
"roszieg",74,0.930848,16,128
"roszieg",75,0.907641,16,194
"roszieg",76,0.693594,17,143
"roszieg",77,0.52404,13,89
"roszieg",78,0.809778,14,164
"roszieg",79,0.879835,14,274
"roszieg",80,0.573876,14,45
"wee-mag",1,1757.53,25,3441879
"wee-mag",2,NA,26,NA
"wee-mag",3,NA,26,NA
"wee-mag",4,NA,30,NA
"wee-mag",5,NA,30,NA
"wee-mag",6,NA,25,NA
"wee-mag",7,1871.61,24,3266159
"wee-mag",8,NA,29,NA
"wee-mag",9,2191.96,25,4223435
"wee-mag",10,NA,27,NA
"wee-mag",11,2695.42,29,5057661
"wee-mag",12,NA,32,NA
"wee-mag",13,NA,31,NA
"wee-mag",14,NA,32,NA
"wee-mag",15,NA,32,NA
"wee-mag",16,NA,30,NA
"wee-mag",17,3553.47,31,7876617
"wee-mag",18,NA,35,NA
"wee-mag",19,NA,31,NA
