"name","num","avg","best","time","tbest"
"heskia",1,94,94,4,0.1
"heskia",2,95,95,8,0.5
"heskia",3,102,102,5.7,0.2
"heskia",4,103,103,5.4,0.1
"heskia",5,92,92,8.7,0.2
"heskia",6,98,98,7.3,0.1
"heskia",7,116,116,8.1,0.2
"heskia",8,86,86,4.7,0.1
"heskia",9,95,95,7,0.1
"heskia",10,142,142,10.3,0.1
"heskia",11,169,169,15,1.5
"heskia",12,107,107,9.2,0.2
"heskia",13,108,108,5.9,0
"heskia",14,97,97,6.6,0.1
"heskia",15,130,130,8.7,0.2
"heskia",16,117.1,117,12.3,0.5
"heskia",17,146,146,5.2,0.1
"heskia",18,132,132,12.1,0
"heskia",19,101,101,7,0.1
"heskia",20,120,120,11.1,0.2
"heskia",21,200,200,13.8,1.2
"heskia",22,147,147,6.7,0
"heskia",23,186,186,7.5,0.2
"heskia",24,181,181,9.6,0.3
"heskia",25,142,142,8.4,0.2
"heskia",26,194,194,11.6,0
"heskia",27,149,149,8.7,0.1
"heskia",28,191.2,191,6.3,0.6
"heskia",29,170,170,12.1,0
"heskia",30,165,165,6.9,0
"heskia",31,204,204,8.6,0.6
"heskia",32,147,147,7.6,0.1
"heskia",33,211.1,211,10.3,0.2
"heskia",34,127,127,4.8,0.2
"heskia",35,185.2,181,17.2,0.5
"heskia",36,179,179,5.8,0.1
"heskia",37,191,191,9.8,0.2
"heskia",38,152,152,9.1,0.1
"heskia",39,167.3,167,14.6,2
"heskia",40,153.1,153,7.6,0.7
"heskia",41,35,35,6.4,0.1
"heskia",42,40,40,9.4,0.2
"heskia",43,36.8,35,8.9,0.2
"heskia",44,30,30,7.3,0.8
"heskia",45,40,40,14.3,0.1
"heskia",46,29,29,6.5,0.3
"heskia",47,25,25,5.3,0
"heskia",48,43,43,0.4,0.1
"heskia",49,38,38,13.2,0.2
"heskia",50,34,34,8.6,0.2
"heskia",51,51,51,13.5,0.1
"heskia",52,50.3,50,14.4,0.7
"heskia",53,52,52,8,0
"heskia",54,33,33,6.4,0.1
