"name","num","avg","best","time","tbest"
"heskia",1,94,94,6,0.1
"heskia",2,95,95,6,0.3
"heskia",3,102,102,6,0.2
"heskia",4,103,103,6,0
"heskia",5,92,92,6,0
"heskia",6,98,98,6,0
"heskia",7,116,116,6,0
"heskia",8,86,86,6,0
"heskia",9,95,95,6,0.2
"heskia",10,142,142,6,0
"heskia",11,169,169,6,0.1
"heskia",12,107,107,6,0
"heskia",13,108,108,6,0
"heskia",14,96,96,6,0.2
"heskia",15,130,130,6,0
"heskia",16,117,117,6,0.1
"heskia",17,146,146,6,0
"heskia",18,132,132,6,0
"heskia",19,101,101,6,0.1
"heskia",20,120,120,6,0
"heskia",21,200,200,6,0.1
"heskia",22,147,147,6,0
"heskia",23,186,186,6,0
"heskia",24,181,181,6,0.1
"heskia",25,142,142,6,0
"heskia",26,194,194,6,0
"heskia",27,149,149,6,0
"heskia",28,191,191,6,0.3
"heskia",29,170,170,6,0
"heskia",30,165,165,6,0
"heskia",31,204.5,204,6,0.9
"heskia",32,147,147,6,0
"heskia",33,211,211,6,0
"heskia",34,127,127,6,0
"heskia",35,181,181,6,0
"heskia",36,179,179,6,0
"heskia",37,191,191,6,0.1
"heskia",38,152,152,6,0
"heskia",39,167,167,6,0.1
"heskia",40,153.3,153,6,1.1
"heskia",41,35,35,6,0.2
"heskia",42,40,40,6,0.2
"heskia",43,35,35,6.1,0.5
"heskia",44,30,30,6,0.5
"heskia",45,40,40,6,0.2
"heskia",46,29,29,6,0.1
"heskia",47,25,25,6,0.1
"heskia",48,43,43,0.1,0.1
"heskia",49,38,38,6,0.2
"heskia",50,34,34,6.1,0.2
"heskia",51,51,51,6.1,0.2
"heskia",52,50,50,6.1,0.2
"heskia",53,52,52,6.1,0
"heskia",54,33,33,6,0.3
"heskia",55,40,39,6,0.3
"heskia",56,34,34,6,0.1
"heskia",57,42,42,0.2,0.2
"heskia",58,39,39,6,0.1
"heskia",59,59,59,0.2,0.3
"heskia",60,28,28,0,0
"heskia",61,66,66,6.1,0
"heskia",62,56,56,6,0.1
"heskia",63,69,69,6.1,0.2
"heskia",64,126,126,0,0
"heskia",65,107,107,0.1,0
"heskia",66,39,39,0.1,0.1
"heskia",67,87,87,0.1,0
"heskia",68,62,62,6.1,1
"heskia",69,61,61,0.1,0.1
"heskia",70,79,79,0.1,0.1
"heskia",71,91,91,0,0
"heskia",72,65,65,6,0.8
"heskia",73,73,73,6,0.2
"heskia",74,57,57,0.1,0.1
"heskia",75,65,65,6.1,0.1
"heskia",76,70,70,0.1,0.1
"heskia",77,71,71,6.1,0.3
"heskia",78,58,58,6,0.3
"heskia",79,46,46,0.1,0.1
"heskia",80,76,76,6.1,0.3
"roszieg",1,20,20,6,0
"roszieg",2,22,22,6,0.1
"roszieg",3,18,18,6,0.1
"roszieg",4,18,18,6,0
"roszieg",5,17,17,6,0
"roszieg",6,24,24,6,0
"roszieg",7,21,21,6,0
"roszieg",8,20,20,6,0
"roszieg",9,22,22,6,0
"roszieg",10,19,19,6,0.1
"roszieg",11,30,30,6,0
"roszieg",12,27,27,6,0.1
"roszieg",13,76,76,0,0
"roszieg",14,25,25,6,0
"roszieg",15,26,26,6,0
"roszieg",16,22,22,6,0
"roszieg",17,22,22,6,0
"roszieg",18,20,20,6,0
"roszieg",19,27,27,6,0.1
"roszieg",20,40,40,6,0
"roszieg",21,28,28,6,0.1
"roszieg",22,30,30,6,0
"roszieg",23,26,26,6,0
"roszieg",24,33,33,6,0
"roszieg",25,28,28,6,0.1
"roszieg",26,27,27,6,0
"roszieg",27,21,21,6,0.1
"roszieg",28,28,28,6,0
"roszieg",29,27,27,6,0.1
"roszieg",30,33,33,6,0
"roszieg",31,31,31,6,0
"roszieg",32,29,29,6,0
"roszieg",33,32,32,6,0
"roszieg",34,27,27,6,0
"roszieg",35,27,27,6,0
"roszieg",36,29,29,6,0
"roszieg",37,27,27,6,0
"roszieg",38,28,28,6,0
"roszieg",39,21,21,6,0
"roszieg",40,29,29,6,0.1
"roszieg",41,10,10,6,0
"roszieg",42,10,10,6,0
"roszieg",43,10,10,6,0
"roszieg",44,9,9,6,0
"roszieg",45,12,12,6,0
"roszieg",46,9,9,6,0
"roszieg",47,10,10,6,0
"roszieg",48,8,8,6,0
"roszieg",49,10,10,6,0
"roszieg",50,9,9,5.9,0.2
"roszieg",51,11,11,6,0.1
"roszieg",52,10,10,6,0.1
"roszieg",53,10,10,6,0.1
"roszieg",54,10,10,6,0.1
"roszieg",55,11,11,6,0.1
"roszieg",56,13,13,6,0
"roszieg",57,13,13,6,0.1
"roszieg",58,11,11,5.9,0
"roszieg",59,12,12,6,0.1
"roszieg",60,9,9,6,0.2
"roszieg",61,16,16,6,0
"roszieg",62,13,13,6,0
"roszieg",63,19,19,6,0.1
"roszieg",64,16,16,6,0
"roszieg",65,14,14,6,0
"roszieg",66,17,17,6,0.1
"roszieg",67,17,17,6,0
"roszieg",68,16,16,6,0
"roszieg",69,15,15,6,0
"roszieg",70,17,17,6,0
"roszieg",71,15,15,6,0.1
"roszieg",72,16,16,6,0
"roszieg",73,16,16,6,0.1
"roszieg",74,16,16,6,0.1
"roszieg",75,16,16,6,0
"roszieg",76,17,17,6,0
"roszieg",77,13,13,6,0.1
"roszieg",78,14,14,6,0.1
"roszieg",79,14,14,6,0
"roszieg",80,14,14,6,0
"wee-mag",1,26.4,26,24.1,8.6
"wee-mag",2,27.1,27,23.8,12.4
"wee-mag",3,27.1,27,26.4,12.7
"wee-mag",4,30.8,30,26.2,10.9
"wee-mag",5,30.7,30,25.7,8.7
"wee-mag",6,25.9,25,24.1,6.4
"wee-mag",7,25.5,25,25.2,8.1
"wee-mag",8,29.1,29,26.1,10.7
"wee-mag",9,25.9,25,24.1,6.8
"wee-mag",10,27.6,27,25.3,8.5
"wee-mag",11,29.9,29,26.1,6
"wee-mag",12,31.9,31,25.1,10.7
"wee-mag",13,32,32,24.9,4.3
"wee-mag",14,33.5,33,27.5,9.5
"wee-mag",15,32.9,32,23,5.6
"wee-mag",16,30.2,30,25.8,11.2
"wee-mag",17,31.4,31,22,6.7
"wee-mag",18,35.4,35,26.2,6.7
"wee-mag",19,32.9,32,24.1,5.4
"wee-mag",20,36,36,26.7,10.4
"wee-mag",21,48.3,47,37.9,16.4
"wee-mag",22,45,45,35.9,10.6
"wee-mag",23,47.7,47,32.7,13.4
"wee-mag",24,49.9,48,38.4,15.8
"wee-mag",25,46.8,46,37.3,7.5
"wee-mag",26,47.3,46,34.9,17.3
"wee-mag",27,53.9,53,40.3,17.4
"wee-mag",28,49.9,49,40.3,13.1
"wee-mag",29,45,44,37,5.5
"wee-mag",30,50,50,36.3,6.6
"wee-mag",31,49,49,37.9,11
"wee-mag",32,45.9,45,35.9,15.6
"wee-mag",33,49.4,48,36.6,18.2
"wee-mag",34,52.3,51,38.7,20.9
"wee-mag",35,45.4,44,39.7,14.8
"wee-mag",36,46.9,46,36.8,10.9
"wee-mag",37,40.9,41,36.2,13.6
"wee-mag",38,45.6,44,38.2,11.4
"wee-mag",39,47.7,47,36.7,13.2
"wee-mag",40,39.7,39,24.6,11.8
"wee-mag",41,10,10,42.7,5.8
"wee-mag",42,9.9,9,42.5,9.9
"wee-mag",43,10,10,38.7,7.5
"wee-mag",44,11,11,40.5,10.1
"wee-mag",45,10,10,34.7,7.4
"wee-mag",46,9.1,9,39.7,20.8
"wee-mag",47,11.2,11,41.9,22.3
"wee-mag",48,10.1,10,40.4,16.6
"wee-mag",49,9,9,36,6.4
"wee-mag",50,10,10,42.2,9
"wee-mag",51,12,12,37.2,14.6
"wee-mag",52,9,9,31.5,13.8
"wee-mag",53,11,11,40.2,5.4
"wee-mag",54,12,12,39.3,7.4
