"name","num","m1","m1time","lp1","lp1time","l1","l1time","l2","l2time","lc1","lc1time","lc2","lc2time","lc3","lc3time","m2","m2time","m3","m3time","rcmax","rcmaxtime"
"heskia",1,20.8883,0.00862694,83.6148,4.29153e-05,83.5486,3.40939e-05,81,0.000442028,78,3.8147e-06,56,3.09944e-06,1,4.05312e-06,89.4363,0.00248814,90.0175,0.0041461,83.5531,0.000340939
"heskia",2,16.3817,0.00853491,68.3977,3.60012e-05,65.5266,2.28882e-05,68,0.000459909,60,5.00679e-06,60,2.86102e-06,59,4.05312e-06,67.9828,0.00378895,86.8339,0.00632715,65.5266,0.000380039
"heskia",3,22.5232,0.00693989,91.0582,4.00543e-05,89.9095,2.59876e-05,90,0.000473976,84,4.05312e-06,65,2.86102e-06,1,4.05312e-06,93.0147,0.00238895,96.2397,0.00553489,90.093,0.000355959
"heskia",4,21.8436,0.00492597,87.375,4.79221e-05,87.3746,3.60012e-05,83,0.000479937,75,5.96046e-06,66,4.05312e-06,1,4.05312e-06,91.1739,0.00257707,95.8038,0.00424194,87.3746,0.000439167
"heskia",5,17.0082,0.00795889,69.3645,3.38554e-05,68.0066,2.28882e-05,69,0.000447989,60,5.00679e-06,53,3.09944e-06,60,5.00679e-06,71.6666,0.00232005,79.7565,0.00575995,68.0327,0.000396013
"heskia",6,19.6548,0.00617909,78.9601,5.38826e-05,78.6191,3.8147e-05,80,0.000746965,72,8.10623e-06,67,5.00679e-06,1,5.00679e-06,84.3408,0.00426507,91.6502,0.00644803,78.6191,0.000594854
"heskia",7,24.0044,0.00560594,98.4541,3.69549e-05,96.0177,2.28882e-05,100,0.00050807,93,4.05312e-06,93,3.09944e-06,1,4.05312e-06,102.375,0.00264192,106.601,0.00398397,96.0177,0.000426769
"heskia",8,17.6734,0.00961494,70.6937,3.71933e-05,70.6936,2.88486e-05,70,0.000406027,66,5.00679e-06,50,3.09944e-06,1,3.09944e-06,77.2416,0.00240397,81.1028,0.00662208,70.6936,0.0003829
"heskia",9,19.5392,0.00465798,78.1651,4.41074e-05,78.1415,3.09944e-05,78,0.000475883,70,5.00679e-06,51,2.86102e-06,1,4.05312e-06,82.521,0.0028739,85.8152,0.00458217,78.157,0.000377178
"heskia",10,24.8555,0.00490403,99.3634,4.19617e-05,99.363,2.59876e-05,107,0.000586987,104,3.8147e-06,104,3.8147e-06,1,3.8147e-06,112.547,0.00272012,123.686,0.00408101,99.4221,0.000380039
"heskia",11,30.4297,0.00789022,123.604,4.60148e-05,121.564,2.59876e-05,120,0.000619888,112,4.05312e-06,97,3.09944e-06,1,4.05312e-06,132.299,0.00275922,144.906,0.00391006,121.719,0.000363827
"heskia",12,19.3755,0.00551701,77.575,4.1008e-05,77.502,3.19481e-05,79,0.000446796,73,5.00679e-06,61,3.09944e-06,1,4.05312e-06,84.0654,0.0027411,92.3507,0.00424194,77.502,0.000383139
"heskia",13,22.0746,0.009552,90.4658,0.000108957,88.2985,2.47955e-05,96,0.000471115,93,4.05312e-06,93,3.09944e-06,1,4.05312e-06,95.8443,0.00393605,98.554,0.00371599,88.2985,0.000430107
